Status of existing checking account,Duration in month,Credit amount,Savings account or bonds,Present employment since,Install. rate (%) of disposable income,Present residence since,Age in years,No. of existing credits at this bank,Job,No. people being liable for,Credit history_all_paid_duly,Credit history_critical,Credit history_delay,Credit history_existing_duly_until_now,Credit history_none_paid_duly,Purpose_business,Purpose_car_new,Purpose_car_used,Purpose_domestic_appliances,Purpose_education,Purpose_furniture_equipment,Purpose_others,Purpose_radio_television,Purpose_repairs,Purpose_retraining,Personal status and sex_female_divorced_separated_married,Personal status and sex_male_divorced_separated,Personal status and sex_male_married_widowed,Personal status and sex_male_single,Other debtors or guarantors_coapplicant,Other debtors or guarantors_guarantor,Other debtors or guarantors_none,Property_car_other,Property_real estate,Property_soc_savings_life_insurance,Property_unknown,Other installment plans_bank,Other installment plans_none,Other installment plans_stores,Housing_free,Housing_own,Housing_rent,Telephone_none,Telephone_yes,Foreign worker_no,Foreign worker_yes,P0,P1
0.6666666666666667,0.8421052631578947,0.5533280922431867,0.25,1.0,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.22803823867584172,0.7719617613241583
0.0,0.8421052631578947,0.5533280922431867,0.25,0.25,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5549124962204339,0.44508750377956613
0.0,0.8421052631578947,0.5533280922431867,0.25,0.5,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5021690733207772,0.4978309266792228
0.0,0.8421052631578947,0.5533280922431867,0.25,0.25,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5473667266254303,0.45263327337456966
0.0,0.8421052631578947,0.5533280922431867,0.25,0.25,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5301806355597394,0.4698193644402606
0.0,0.8421052631578947,0.5533280922431867,0.25,1.0,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5148764580658907,0.48512354193410934
0.0,0.8421052631578947,0.5533280922431867,0.25,0.25,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5155820508680198,0.4844179491319802
0.0,0.8421052631578947,0.5533280922431867,0.25,0.0,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5084567519978258,0.49154324800217414
0.0,0.8421052631578947,0.5533280922431867,0.25,0.25,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5082472358090913,0.49175276419090874
0.0,0.8421052631578947,0.5533280922431867,0.25,0.25,1.0,0.3333333333333333,0.2666666666666666,0.0,0.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5342470470413903,0.4657529529586098
